message,dtTime,userID,user,type,episode,time
广电 剪了又剪~,0.038,49b86d7c,49b86d7c,1,1,5
呼叫：战狼冷锋,0.592,7eee946d,7eee946d,1,1,5
我的肉有点疼，但值得,5.678,cf4ffeca,cf4ffeca,1,1,5
我来看徐锦江老师了,13.61,2d5ea68c,2d5ea68c,1,1,5
谢兵儿子,13.94,9b28a74a,9b28a74a,1,1,5
美人鱼战士大电影,15.335,a6b40b95,a6b40b95,1,1,5
1080P＋什么意思？我的怎么是,15.84,99ae2b0,99ae2b0,1,1,5
三刷,16.522,f037cc77,f037cc77,1,1,5
卡,16.598,6dfebcf7,6dfebcf7,1,1,5
安娜,22.033,b3584e6e,b3584e6e,1,1,5
第二遍，欧里给,23.965,66f7bdbc,66f7bdbc,1,1,5
DC大法好啊！,33.64,88ec6275,88ec6275,1,1,5
海王！！！！,35.238,6cb2b92a,6cb2b92a,1,1,5
吓老子一跳,43.721,f813363d,f813363d,1,1,5
不说了不说了看海王,44.839,7383b73,7383b73,1,1,5
呜呜呜专门来看亚瑟和奥咪的,46.901,b4fb5200,b4fb5200,1,1,5
为了DC Universe纪念。,51.123,6991d806,6991d806,1,1,5
好看哒,61.525,1cb5875f,1cb5875f,1,1,5
捡了个老婆？,67.598,ceeaa5ec,ceeaa5ec,1,1,5
真.捡尸,68.618,c1c64713,c1c64713,1,1,5
5刷,72.811,532b0c68,532b0c68,1,1,5
弟弟被冲上岸了,75.121,367415eb,367415eb,1,1,5
邂逅爱情？,75.299,a46a81cc,a46a81cc,1,1,5
捡个老婆哟,79.139,c2bb75e9,c2bb75e9,1,1,5
捡来的老婆,80.661,beef90af,beef90af,1,1,5
替身使者会互相吸引,82.82,24c96853,24c96853,1,1,5
来赶海了,89.598,e7bdd354,e7bdd354,1,1,5
我以为是裸的，还想着咋尺度这么大,90.705,eceff5b0,eceff5b0,1,1,5
妮可是真美啊，这么多年了风华依旧,94.805,7669cdca,7669cdca,1,1,5
woc我咋遇不到这样的,94.889,27760688,27760688,1,1,5
系统消息：获得 无瑕的老婆（稀有）+1,95.022,1.4294E+50,1.4294E+50,1,1,5
恭喜您，捡到了一个老婆,98.991,719807f9,719807f9,1,1,5
年费送的,99.738,36427edc,36427edc,1,1,5
well,102.562,bbb91146,bbb91146,1,1,5
捡个老婆回家嘿嘿嘿,102.72,61f1ab65,61f1ab65,1,1,5
嘿嘿嘿,102.758,8edf3694,8edf3694,1,1,5
改天我也去碰碰运气,103.681,279da79a,279da79a,1,1,5
阿珍爱上了阿强,103.965,3d68b1db,3d68b1db,1,1,5
打死都不丢武器吗,104.498,24845cb6,24845cb6,1,1,5
