message,dtTime,userID,user,type,episode
2.5的微笑,0,d4b15ed7,d4b15ed7,2,2
每天沙赞见,0,e25c27eb,e25c27eb,2,2
花了老子两块五，妈蛋，充钱真爽,0.798,fd150f36,fd150f36,2,2
年费的挤挤,1.339,b20fe7eb,b20fe7eb,2,2
会员的微笑,2.538,41f48f6b,41f48f6b,2,2
资本主义的弹幕,3.798,7fbf5885,7fbf5885,2,2
1,3.826,2778b99a,2778b99a,2,2
刘明,3.925,6189b51a,6189b51a,2,2
刚刚开口跪来这里了。2333,4.278,9f714115,9f714115,2,2
有钱的微笑,4.436,42f96985,42f96985,2,2
两块五的弹幕,4.802,dc271e62,dc271e62,2,2
年费让我们相遇,5.259,317c164d,317c164d,2,2
两块五的弹幕,5.3,9e20257c,9e20257c,2,2
年费免费的微笑,5.318,5283ba31,5283ba31,2,2
呼吸上层资本主义的新鲜空气,5.461,1b88e49d,1b88e49d,2,2
5块使我贫穷,5.598,92233092,92233092,2,2
年费的微笑,5.653,35969700,35969700,2,2
明人不说暗话  老子有钱,5.86,d1657b55,d1657b55,2,2
充,5.888,83a7bb90,83a7bb90,2,2
2.5元？,6.081,be38c3cb,be38c3cb,2,2
富人的微笑,6.401,e7cc2bd6,e7cc2bd6,2,2
都花了钱的，大家嚣张一点，不要低调,6.761,4996cdfd,4996cdfd,2,2
富有的微笑,6.801,225b40b,225b40b,2,2
都是弟弟,6.918,6ecf8e67,6ecf8e67,2,2
财富的骄傲哦,7.599,8d7d68d0,8d7d68d0,2,2
超能力,7.84,27fca20b,27fca20b,2,2
两块五的微笑,7.851,92e52539,92e52539,2,2
来啦,7.936,147826b,147826b,2,2
五块啊,8.5,94c13631,94c13631,2,2
哈哈哈留念,8.619,96378c43,96378c43,2,2
2块5总得留下点东西,8.64,b85fbcbf,b85fbcbf,2,2
留下钱印,8.698,eb9d02e9,eb9d02e9,2,2
我的两块五啊啊啊啊。。。。。。。,8.844,759abe73,759abe73,2,2
嘻嘻,8.958,573e0ad5,573e0ad5,2,2
2.5B的微笑,9.104,c8b57a53,c8b57a53,2,2
滴 ,9.123,e73515b4,e73515b4,2,2
Kuail,9.174,d2554c4b,d2554c4b,2,2
年费的快乐,9.174,d2554c4b,d2554c4b,2,2
来了来了,9.258,6c9f39bf,6c9f39bf,2,2
富裕是我们相见,9.301,918bd83b,918bd83b,2,2
五块钱我总得留点什么嘻嘻,9.398,aac992bf,aac992bf,2,2
钞能力使我们相遇,9.438,81fd279f,81fd279f,2,2
赶紧留个jio印,9.44,46ef6a59,46ef6a59,2,2
都是大会员，嚣张点,9.458,93267083,93267083,2,2
 年会算我个,9.493,930b251c,930b251c,2,2
嚣张一点,9.6,467dbd1d,467dbd1d,2,2
年费大会员不可一世的嚣张笑容,9.798,1680ed5,1680ed5,2,2
唉,9.798,a3bfb626,a3bfb626,2,2
